Date,Ticker,Action,Shares,Price,Total
1993-01-01,Idx_01,BUY,278,65.91412236717922,-18324.12601807582
1993-01-01,Stock_02,BUY,145,138.17229595620557,-20034.98291364981
1993-01-01,Comm_04,BUY,294,66.56238669194354,-19569.341687431403
1993-01-01,Stock_01,BUY,220,94.31283182886132,-20748.82300234949
1993-01-01,Stock_04,BUY,228,88.59317046914494,-20199.242866965047
1993-02-01,Stock_01,SELL,220,107.78295228497024,23712.249502693452
1993-02-01,Stock_04,SELL,228,93.53985132781618,21327.08610274209
1993-02-01,Idx_01,BUY,96,56.30810173133894,-5405.577766208538
1993-02-01,Comm_04,BUY,27,61.05999390659327,-1648.6198354780183
1993-02-01,Stock_11,BUY,108,176.99295996111235,-19115.239675800134
1993-02-01,Stock_02,BUY,1,136.55305484815537,-136.55305484815537
1993-02-01,Stock_06,BUY,174,112.05103066195308,-19496.879335179834
1993-03-01,Stock_02,SELL,146,132.23522134057995,19306.342315724673
1993-03-01,Comm_04,SELL,321,67.77696130651626,21756.404579391718
1993-03-01,Stock_11,SELL,108,173.5102696996318,18739.109127560234
1993-03-01,Stock_06,SELL,174,115.89459402817874,20165.6593609031
1993-03-01,Idx_01,SELL,82,70.29659144389922,5764.320498399736
1993-03-01,Stock_14,BUY,184,116.2335747322696,-21386.977750737606
1993-03-01,Comm_02,BUY,168,125.86253399961488,-21144.905711935302
1993-03-01,Comm_01,BUY,146,140.3290677505633,-20488.04389158224
1993-03-01,Idx_04,BUY,149,142.2033277494738,-21188.295834671597
1993-04-01,Stock_14,SELL,184,102.7127418078098,18899.144492637006
1993-04-01,Comm_02,SELL,168,114.8238652479996,19290.409361663933
1993-04-01,Comm_01,SELL,146,127.3944653101466,18599.591935281405
1993-04-01,Idx_01,SELL,11,69.58831412503527,765.4714553753879
1993-04-01,Stock_09,BUY,120,170.94447879154654,-20513.337454985587
1993-04-01,Idx_04,SELL,8,146.5670275963531,1172.536220770825
1993-04-01,Stock_06,BUY,163,125.98355706752167,-20535.319802006034
1993-05-03,Stock_06,SELL,163,126.68642547236584,20649.887351995632
1993-05-03,Idx_04,SELL,141,139.33536841424385,19646.28694640838
1993-05-03,Stock_04,BUY,143,129.70836623582457,-18548.296371722914
1993-05-03,Idx_01,BUY,60,54.75874193007469,-3285.5245158044813
1993-05-03,Stock_02,BUY,130,146.67340391673636,-19067.542509175728
1993-05-03,Stock_09,SELL,4,165.172301828321,660.689207313284
1993-06-01,Idx_01,SELL,341,71.75741024780672,24469.27689450209
1993-06-01,Stock_04,SELL,143,123.89840178542764,17717.471455316154
1993-06-01,Stock_09,SELL,116,163.84026566576054,19005.470817228223
1993-06-01,Stock_02,BUY,5,147.93941256425745,-739.6970628212873
1993-06-01,FX_03,BUY,177,112.1785255047981,-19855.599014349264
1993-06-01,Idx_04,BUY,147,135.4595545312118,-19912.554516088137
1993-06-01,Stock_11,BUY,102,193.53550214893264,-19740.62121919113
1993-06-01,Stock_13,BUY,169,116.44931281438448,-19679.933865630977
1993-07-01,Stock_02,SELL,135,141.47557730247345,19099.202935833917
1993-07-01,Idx_04,SELL,147,132.07510152171537,19415.03992369216
1993-07-01,Stock_13,SELL,169,122.4171424037299,20688.497066230353
1993-07-01,Stock_04,BUY,297,70.75614003908474,-21014.57359160817
1993-07-01,Stock_10,BUY,121,165.8642541665629,-20069.57475415411
1993-07-01,Stock_11,SELL,6,210.4511691807896,1262.7070150847376
1993-07-01,FX_03,BUY,6,110.22600134800513,-661.3560080880308
1993-08-02,Stock_04,SELL,297,76.4671382402885,22710.740057365685
1993-08-02,FX_03,SELL,183,111.2272095205342,20354.57934225776
1993-08-02,Stock_10,SELL,121,173.88185805256882,21039.704824360826
1993-08-02,Comm_04,BUY,253,85.79315727272312,-21705.66878999895
1993-08-02,Stock_06,BUY,151,140.20747648612405,-21171.32894940473
1993-08-02,Stock_11,SELL,3,224.00863840323123,672.0259152096937
1993-08-02,Stock_03,BUY,154,137.20007048893615,-21128.810855296168
1993-09-01,Stock_03,SELL,154,143.53224689523728,22103.96602186654
1993-09-01,Comm_04,BUY,6,83.43761330805646,-500.62567984833873
1993-09-01,Stock_09,BUY,157,133.7757348131574,-21002.790365665714
1993-09-01,Stock_06,SELL,2,145.4683713320676,290.9367426641352
1993-09-01,Idx_01,BUY,310,65.91412236717922,-20433.37793382556
1993-09-01,Stock_11,SELL,2,233.7227232120908,467.4454464241816
1993-10-01,Idx_01,SELL,310,55.0686122016612,17071.269782514973
1993-10-01,Comm_04,SELL,259,81.21089610636224,21033.62209154782
1993-10-01,Stock_06,SELL,10,155.2419970928806,1552.4199709288062
1993-10-01,Stock_09,SELL,9,140.5320942647903,1264.7888483831125
1993-10-01,Stock_02,BUY,172,122.79611484139154,-21120.931752719345
1993-10-01,Stock_11,BUY,2,230.46936994017497,-460.93873988034994
1993-11-01,Stock_02,SELL,172,131.9747198720155,22699.651817986665
1993-11-01,Stock_09,SELL,148,156.74734175461137,23198.606579682484
1993-11-01,Idx_01,BUY,465,47.01195136708516,-21860.5573856946
1993-11-01,Stock_07,BUY,60,365.4670905436862,-21928.025432621173
1993-11-01,Stock_06,SELL,2,160.94593470190375,321.8918694038075
1993-11-01,Stock_04,BUY,246,88.01561003543381,-21651.840068716716
1993-12-01,Stock_04,SELL,246,95.71542457678814,23545.994445889883
1993-12-01,Stock_07,SELL,60,339.19715114729,20351.8290688374
1993-12-01,Idx_01,SELL,26,52.41257225592143,1362.7268786539573
1993-12-01,Stock_06,BUY,9,154.3301948675902,-1388.9717538083119
1993-12-01,Comm_04,BUY,323,70.79499213929472,-22866.782460992195
1993-12-01,Stock_08,BUY,133,167.3348550416073,-22255.53572053377
1994-01-03,Comm_04,SELL,323,71.97276412162805,23247.20281128586
1994-01-03,Stock_06,SELL,146,145.7895264598904,21285.270863143996
1994-01-03,Idx_01,SELL,13,51.48295721949607,669.278443853449
1994-01-03,Stock_15,BUY,393,56.0128203262106,-22013.038388200766
1994-01-03,Comm_03,BUY,176,126.105065464879,-22194.491521818705
1994-01-03,Stock_08,BUY,7,157.69821070379294,-1103.8874749265506
1994-01-03,Stock_11,SELL,1,238.6678379965435,238.6678379965435
1994-02-01,Idx_01,SELL,426,70.73926265735626,30134.925892033767
1994-02-01,Stock_11,SELL,92,246.7362290661117,22699.733074082276
1994-02-01,Stock_15,SELL,393,54.0798227646522,21253.370346508313
1994-02-01,Comm_03,SELL,176,127.05898066246267,22362.38059659343
1994-02-01,Comm_01,BUY,220,105.1822547053202,-23140.096035170445
1994-02-01,Stock_03,BUY,137,168.49522038582313,-23083.84519285777
1994-02-01,Stock_08,BUY,13,151.1552113197833,-1965.0177471571828
1994-02-01,Stock_07,BUY,75,305.06462773296994,-22879.847079972744
1994-02-01,FX_01,BUY,233,100.2578758257244,-23360.085067393786
1994-03-01,Comm_01,SELL,220,103.3987869386304,22747.733126498686
1994-03-01,Stock_03,SELL,137,148.8387224591252,20390.90497690015
1994-03-01,Stock_07,SELL,75,299.88470503491686,22491.352877618763
1994-03-01,Stock_08,SELL,153,130.8607035963088,20021.687650235246
1994-03-01,Comm_03,BUY,203,110.43933442322732,-22419.184887915148
1994-03-01,Comm_04,BUY,330,68.60507756983988,-22639.67559804716
1994-03-01,Stock_09,BUY,155,148.52611933778653,-23021.54849735691
1994-03-01,FX_01,SELL,13,101.1238906693823,1314.6105787019699
1994-04-01,Stock_09,SELL,155,176.23287568204407,27316.095730716832
1994-04-01,Comm_03,SELL,203,88.45894943965516,17957.166736249997
1994-04-01,FX_01,SELL,220,103.31927094597496,22730.23960811449
1994-04-01,Idx_01,BUY,406,52.63390997348287,-21369.367449234047
1994-04-01,Comm_04,BUY,2,69.96687587597108,-139.93375175194217
1994-04-01,Stock_15,BUY,513,44.063408395752255,-22604.528507020907
1994-04-01,Stock_08,BUY,214,101.6478876491664,-21752.64795692161
1994-04-01,Stock_03,BUY,127,177.48685048525317,-22540.830011627153
1994-05-02,Idx_01,SELL,406,92.7401532599788,37652.50222355139
1994-05-02,Comm_04,SELL,332,57.54508805078026,19104.969232859046
1994-05-02,Stock_03,SELL,127,154.452659135977,19615.48771026908
1994-05-02,Stock_15,SELL,513,34.88170392974715,17894.314115960286
1994-05-02,Stock_08,BUY,34,98.8399436422767,-3360.5580838374076
1994-05-02,Comm_01,BUY,230,106.52135020996528,-24499.910548292013
1994-05-02,Stock_05,BUY,370,63.7355748745714,-23582.162703591417
1994-05-02,FX_06,BUY,203,114.44076282178315,-23231.47485282198
1994-06-01,Comm_01,SELL,230,97.65808327324072,22461.359152845365
1994-06-01,Stock_08,SELL,248,106.1406242768365,26322.874820655452
1994-06-01,FX_06,SELL,203,112.90209854418788,22919.12600447014
1994-06-01,Comm_04,BUY,460,54.306219486897255,-24980.860963972736
1994-06-01,Stock_05,SELL,53,75.83168148394365,4019.0791186490137
1994-06-01,Stock_01,BUY,206,115.94506102001804,-23884.682570123718
1994-06-01,Stock_10,BUY,119,202.8041026087903,-24133.688210446046
1994-07-01,Comm_04,SELL,460,51.26978295046545,23584.100157214107
1994-07-01,Stock_01,SELL,206,126.1402722801874,25984.896089718604
1994-07-01,Stock_08,BUY,248,100.69316813350484,-24971.9056971092
1994-07-01,Comm_03,BUY,391,63.83178574060735,-24958.228224577473
1994-07-01,Stock_05,SELL,34,87.51066358943878,2975.3625620409184
1994-07-01,Comm_01,BUY,246,101.86152325836036,-25057.93472155665
1994-07-01,Stock_10,SELL,2,211.9928339484273,423.9856678968546
1994-08-01,Comm_01,SELL,246,93.86296571010226,23090.289564685154
1994-08-01,Stock_10,SELL,117,219.1448769857034,25639.950607327297
1994-08-01,Stock_08,SELL,248,111.6442142936585,27687.765144827306
1994-08-01,Comm_03,SELL,391,76.78355675339795,30022.3706905786
1994-08-01,Stock_05,SELL,283,90.16870139313885,25517.742494258295
1994-08-01,Comm_04,BUY,574,46.5771051123191,-26735.258334471164
1994-08-01,Idx_01,BUY,484,54.40460327064272,-26331.827982991075
1994-08-01,Stock_12,BUY,212,130.0135850051626,-27562.880021094472
1994-08-01,Stock_06,BUY,221,119.61212587495449,-26434.279818364943
1994-09-01,Idx_01,SELL,484,62.903939540341646,30445.506737525357
1994-09-01,Stock_06,SELL,221,116.94520406537194,25844.8900984472
1994-09-01,Stock_12,SELL,212,129.82235969070496,27522.34025442945
1994-09-01,Comm_04,BUY,1,47.66286173898668,-47.66286173898668
1994-09-01,Stock_14,BUY,136,205.03432575118245,-27884.66830216081
1994-09-01,Stock_15,BUY,643,42.86847590819291,-27564.430008968044
1994-09-01,Stock_02,BUY,174,158.286463954799,-27541.844728135024
1994-10-03,Stock_02,SELL,174,144.24265456285988,25098.221893937618
1994-10-03,Comm_04,SELL,575,50.16562500767818,28845.234379414953
