Date,Ticker,Action,Shares,Price,Total
1990-06-19,Stock_07,BUY,44,136.34864768367007,-6444.273719931695
1990-06-19,Stock_10,BUY,51,119.07189199505936,-6523.037839775252
1990-06-19,Stock_11,BUY,52,115.45043168824569,-6003.422447788776
1990-06-19,Stock_13,BUY,55,110.6336569825847,-6084.851134042158
1990-06-19,Comm_01,BUY,45,109.46376163559412,-4925.869273601736
1990-06-19,FX_05,BUY,97,93.09568089148566,-9030.281046474109
1990-06-19,Idx_04,SELL,123,96.39635650273394,11856.751849836275
1990-07-02,Idx_04,BUY,6,96.25954149269296,-577.5572489561578
1990-07-03,Idx_04,SELL,5,94.4298892061211,472.14944603060553
1990-07-05,Stock_10,BUY,5,103.4693691741222,-553.1839133744883
1990-07-05,Idx_04,SELL,5,90.4409585577046,452.20479278852304
1990-07-06,Stock_01,BUY,61,96.37234866895768,-6301.717433651815
1990-07-06,Stock_11,BUY,5,103.49108561685452,-517.4554280842726
1990-07-06,FX_05,BUY,44,93.28747806770087,-4104.649034978838
1990-07-16,Stock_13,SELL,55,103.796800125891,5708.824006924005
1990-07-17,Idx_04,BUY,5,96.89060898071789,-484.45304490358944
1990-07-20,Stock_01,SELL,5,106.92010795550718,584.6022001171888
1990-07-20,FX_05,BUY,5,91.44689152219584,-457.23445761097923
1990-07-26,Stock_07,SELL,5,154.73879020426236,848.6942605804916
1990-07-26,Comm_01,SELL,5,124.84237715680553,624.2118857840276
1990-08-07,Stock_06,BUY,66,92.33221412902036,-5666.8574204403985
1990-08-07,FX_01,SELL,48,92.991895490885,4463.61098356248
1990-08-10,Stock_11,SELL,5,115.45043168824569,577.2521584412284
1990-08-13,Stock_02,BUY,57,101.76379148128024,-5728.251578919277
1990-08-13,Stock_10,SELL,6,116.75763679998876,757.176733733544
1990-08-13,FX_06,SELL,44,98.75383009281094,4345.168524083681
1990-08-14,Idx_04,BUY,5,102.18175810063477,-510.9087905031738
1990-08-15,Stock_01,SELL,8,102.37734269817336,893.9955245196704
1990-08-15,Stock_02,SELL,7,98.894828670801,681.1492948384068
1990-08-15,Stock_06,SELL,13,92.96306921172818,1110.8964228713683
1990-08-15,Stock_07,SELL,6,154.670949092661,1012.9814807000934
1990-08-15,Stock_10,SELL,7,116.90693966704298,893.26401068335
1990-08-15,Stock_11,SELL,8,115.11453398356366,920.9162718685093
1990-08-15,Stock_14,BUY,46,110.01312320504518,-5060.6036674320785
1990-08-15,FX_01,BUY,7,91.9220629382194,-643.4544405675358
1990-08-15,FX_05,SELL,23,91.61329325730492,2107.105744918013
1990-08-15,FX_06,BUY,6,98.3944695871672,-590.3668175230032
1990-08-16,Stock_01,SELL,5,105.28238160532572,574.1047855827456
1990-08-16,Stock_02,SELL,5,99.2323419879935,487.2220017332815
1990-08-16,Stock_05,BUY,49,94.08308664035768,-5027.743338425323
1990-08-16,Stock_06,SELL,6,94.5401905070752,520.4951411338731
1990-08-16,Stock_07,SELL,5,153.68692243767745,838.0547277484044
1990-08-16,Stock_10,SELL,5,119.37048037038775,650.9271826206879
1990-08-16,Stock_11,SELL,6,117.01817385714166,702.1090431428499
1990-08-16,Stock_14,SELL,6,109.8110807999529,658.8664847997175
1990-08-16,FX_01,BUY,5,91.7590600607968,-458.795300303984
1990-08-16,FX_05,BUY,21,91.69265284773644,-1925.5457098024654
1990-08-17,Comm_01,SELL,5,146.62223020402777,733.1111510201389
1990-08-20,FX_06,BUY,5,99.32012512217132,-496.6006256108566
1990-08-21,Stock_02,SELL,6,101.05501550746284,594.8565920555563
1990-08-21,Stock_03,BUY,37,104.47540572189725,-3792.4419833803504
1990-08-21,Stock_05,SELL,8,96.71128911507888,844.2964665497279
1990-08-21,Stock_06,SELL,6,97.04608343862628,532.1555721485882
1990-08-21,Stock_10,SELL,5,118.4000117345353,646.025353280915
1990-08-21,Stock_14,SELL,5,109.2049405007229,546.0247025036144
1990-08-21,FX_05,SELL,15,91.63727950708672,1374.5591926063007
1990-08-21,FX_06,SELL,26,98.1077137485285,2550.800557461741
1990-08-22,Stock_11,SELL,5,119.25774854194478,596.2887427097239
1990-08-24,Stock_01,SELL,5,102.98175067433372,560.9724369005684
1990-08-24,FX_01,BUY,5,91.550830115283,-457.75415057641504
1990-08-29,Stock_01,BUY,39,102.55283251212404,-4391.102821990523
1990-08-29,Stock_02,BUY,41,98.01726615408444,-3935.346684592354
1990-08-29,Stock_03,BUY,40,101.40259393496936,-3971.9668167764335
1990-08-29,Stock_05,BUY,41,95.54690157505917,-4300.924357171948
1990-08-29,Stock_06,BUY,42,95.2937455904559,-3639.7229891960123
1990-08-29,Stock_07,BUY,17,177.539914652913,-3313.6471995732745
1990-08-29,Stock_10,BUY,33,117.5041684940399,-4257.244107209226
1990-08-29,Stock_11,BUY,33,118.92182300735546,-3924.4201592427303
1990-08-29,Stock_14,BUY,32,118.09489791245528,-3779.036733198569
1990-08-29,FX_01,SELL,34,90.93993591538816,3091.9578211231974
1990-08-29,FX_05,BUY,131,91.08327976159312,-11931.909648768698
1990-08-29,FX_06,SELL,61,97.9256708986089,5973.465924815143
1990-08-29,Idx_04,BUY,234,102.9966590917645,-24101.21822747289
1990-08-30,Stock_01,SELL,14,102.65032167697514,1557.1942859242513
1990-08-30,Stock_02,SELL,15,99.90738854524707,1447.64685695019
1990-08-30,Stock_03,SELL,14,101.96127097264478,1378.9135574778604
1990-08-30,Stock_04,BUY,54,117.87476778195074,-5905.198303660153
1990-08-30,Stock_05,SELL,15,93.21810170798378,1515.1162804073215
1990-08-30,Stock_06,SELL,16,93.83920941582392,1392.9136657585518
1990-08-30,Stock_07,SELL,9,177.20059683713737,1728.0732234188804
1990-08-30,Stock_08,BUY,65,98.63930562993409,-5948.168179866502
1990-08-30,Stock_10,SELL,11,119.96771787677471,1429.9193186933776
1990-08-30,Stock_11,SELL,12,120.48950951643684,1445.874114197242
1990-08-30,Stock_14,SELL,13,116.17545581221913,1510.2809255588486
1990-08-30,FX_01,SELL,94,92.7726316662992,8720.627376632125
1990-08-30,FX_05,SELL,49,92.288066843546,4522.115275333755
1990-08-30,FX_06,BUY,22,96.59925243630772,-2125.18355359877
